x,y,Name,Genes
12.930678,4.3706293,HNRNPF,SYNCRIP HNRNPK HNRNPA2B1 HNRNPH1 HNRNPH2 HNRNPA1L2 HNRNPA3 SKIV2L2 
14.926178,-5.1398315,PPIE,AQR RAB43 DHX8 PRPF19 CCDC12 ZNF830 
3.6887076,1.9301255,MRPL11,MRPL28 MRPL48 MRPS18A MRPL24 MRPL47 MRPL22 MRPL54 MRPL10 MRPL32 MRPL30 WBSCR16 MRPL50 MRPL19 MRPL38 MRPL13 MRPL57 MRPL14 MRPL55 MRPL34 MRPL4 MRPL21 MRPL43 MRPL3 MRPL2 MRPL9 ICT1 
13.252433,4.4196024,PPP1R7,PPP1CC PPP1R2 PPP1R11 PPP1CA PPP1CB 
18.713604,-12.5796385,POLR3K,POLR3B POLR3C CRCP POLR3D POLR1C POLR3H GPN1 
14.113207,4.0624876,POLR1A,RRN3 ZNRD1 POLR1B TWISTNB POLR1D POLR2E POLR2F POLR2H POLR2K POLR2L 
20.074902,4.9558153,MED16,CDK19 MED4 MED9 MED17 MED27 MED6 MED7 MED12L MED29 MED13 MED12 MED23 MED15 MED14 MED25 MED31 MED20 MED22 
13.8950405,7.010375,CTBP1,ZEB1 ZBTB18 TRPS1 RREB1 HIC2 
16.108305,-13.913412,RBM39,DDX46 PPIG SRSF5 PRPF40A SRSF6 CDC73 SRSF11 
18.482634,-18.941368,EMC8,MMGT1 EMC1 EMC2 EMC3 EMC6 
16.834145,-6.7999325,MYO18A,MYL6 LIMCH1 ACTA1 SPECC1L ACTG1 MYH9 LRRFIP2 MISP LIMA1 
13.307313,7.6934643,HIST1H1C,RPL6 RPS4X NPM1 RPL30 RPLP0 RPL22L1 RPS15A SLC25A6 RPS25 
3.2869692,1.4865364,MRPL16,MRPL28 MRPL48 MRPS18A MRPL27 MRPL24 MRPL46 MRPL47 MRPL22 MRPL53 MRPL54 MRPL10 MRPL32 MRPL51 MRPL30 MRPL52 MRPL50 MRPL19 MRPL17 MRPL39 MRPL37 MRPL38 MRPL35 MRPL13 MRPL57 MRPL14 MRPL33 MRPL55 MRPL11 MRPL34 MRPL12 MRPL20 MRPL4 MRPL21 MRPL43 MRPL3 MRPL41 MRPL2 MRPL9 ICT1 
13.687691,7.1475263,FSCN1,PPIA NECAP2 CELF1 WDR82 PITPNA UBE2M 
12.1881485,4.2311034,ATP5A1,TUFM RPL21 RPS3A ATP5F1 HADHA UQCRC2 FAU SLC25A6 RPS25 SLC25A4 RPL3 ACADVL HSP90AB1 RPLP2 RPL13 YBX1 ATP5L DLST ATP5C1 ATP2A2 RPL10A ATP5O ATP5E RPL14 RPS3 
1.2846916,-4.764193,RPS10,SSB TUFM SND1 NSUN2 BTF3 RPS8 RPL22 RPL21 RPS9 RPS6 RPL24 EIF1AX RPL23 RPS7 RPL13A RPS3A RPSA RPL37A NAT10 MTHFD1 RPL26 FAU HNRNPC PABPC1 RPL27 RPL11 DDX47 RPL10 RPL13 RPL12 HNRNPU PES1 RPL15 RPS5 RPL14 RPS3 RPS15A ZNF622 RPL18 RPS27A NPM1 RPL35A RPL23A RPS26 RPS29 RPL27A CANX TSR1 RPS20 RPS23 EIF3B RPS25 RPL6 RPL31 RPL3 RPL4 RPL30 RPLP0 RPL35 RPLP2 YBX1 RPL10A RPL9 RPL7 RPL8 RPS16 RPS4X RPS15 RPS18 RPS17 RPL18A RPS19 RRP15 RPL36 RPL39 RACK1 RPS12 RPS11 RPL7A RPS14 RPS13 
-4.5554852,-9.152847,TTF1,DDX31 GNL3 REXO4 LARP7 GTPBP4 NSA2 BOP1 LIN28B DKC1 RPL7L1 ZCCHC9 NIP7 ZC3HAV1 RPF2 DHX30 LLPH RPL36A PES1 RPL15 GAR1 RPL17 RRS1 LYAR MYEF2 NOP16 SURF6 DDX56 CCDC137 DDX10 PAPD5 NOC3L FTSJ3 GLTSCR2 EBNA1BP2 MYBBP1A NOL12 GZF1 GLYR1 RPS24 FYTTD1 RBM28 RRP8 ZNF771 DDX27 ZNF770 WHSC1 DDX24 DDX21 RRP9 BRIX1 RPS13 
17.091562,-8.33682,ST5,MYO1C MYO5B CORO1C LIMA1 PPP1CB 
16.499718,-14.321199,SRSF1,RBM39 THOC2 PPHLN1 PRPF40A WBP11 SRRM2 CLK2 PTMA PRPF8 THRAP3 MKRN1 PPIG SRSF3 RNPS1 SRSF4 ACIN1 SRSF5 SRSF6 SRSF7 SRSF8 LUC7L3 DDX46 SRSF2 CDC73 PNN EFTUD2 U2AF1L5 KIAA1429 SNRNP70 TRA2B LUC7L ZC3H14 SRSF11 
-4.898124,-8.892479,KRI1,UPF1 IMP3 RBM19 DDX31 GNL3 REXO4 LARP7 GTPBP4 MRTO4 NSA2 LIN28B XRN2 DKC1 RPL26 PABPC4 ZNF512 RPL26L1 STAU2 NIP7 YTHDC2 ZC3HAV1 ZC3H8 DHX30 HERC5 LLPH ZNF629 PURA RPL15 GAR1 RPS5 RPL17 SF3B2 LYAR DDX18 NOP16 MRPS26 SURF6 CCDC137 DDX10 FTSJ3 GLTSCR2 MOV10 EBNA1BP2 MYBBP1A TSR1 GZF1 GLYR1 NOP56 RPS24 FYTTD1 RBM28 ZNF574 RRP8 LTV1 ZNF771 DDX27 MPHOSPH10 DDX24 DDX21 NOC2L LARP1 NKRF DHX57 BMS1 BRIX1 IGF2BP3 RPS13 
4.160883,-17.610332,EIF3K,EIF3A EIF3L EIF3H EIF3F EIF3CL EIF3G EIF3D EIF3E EIF3C PRRC2B 
14.382511,2.457906,CSNK2A2,CSNK2B GPATCH2 FBRSL1 GPATCH2L VSX1 NKAP 
19.832287,5.193649,MED8,MED1 CDK19 MED4 MED9 MED13L MED28 MED27 MED6 MED7 MED29 MED24 MED23 CDK8 MED25 MED20 MED22 MED21 CCNC MED17 MED16 MED19 MED12L MED18 MED13 MED12 MED15 MED14 MED31 MED30 MED11 MED10 
0.0647541,-9.62742,EPB41L1,GNG2 RAB3A MAPT DPYSL3 CAMK2A VSNL1 HIST1H2BL NCALD STX1B SYN1 SNCB 
9.410197,3.7566352,PSMD13,PSMD12 PSMD14 PSMC3 PSMD4 UCHL5 PAAF1 
12.510382,-8.748754,PSMF1,PSMB9 PSMB7 PSMA6 PSMA7 PSMB5 PSMA5 PSMB3 PSMA3 PSMB1 PSME4 PSMB2 PSMA1 PSME2 FBXO7 PSMG2 
13.031965,7.6325035,CCNH,CDK7 ERCC5 ERCC2 MNAT1 GTF2H5 
